game_date,player,card,url
2009-11-17,Shaleum Logan,yellow,https://www.tranmere-web.com/match/2009/2009-11-17
2009-11-17,Charlie Barnett,yellow,https://www.tranmere-web.com/match/2009/2009-11-17
2009-11-17,Ian Thomas-Moore,yellow,https://www.tranmere-web.com/match/2009/2009-11-17
2009-11-14,Ian Goodison,yellow,https://www.tranmere-web.com/match/2009/2009-11-14
2009-11-14,John Welsh,yellow,https://www.tranmere-web.com/match/2009/2009-11-14
2009-11-07,Shaleum Logan,yellow,https://www.tranmere-web.com/match/2009/2009-11-07
2009-10-31,John Welsh,yellow,https://www.tranmere-web.com/match/2009/2009-10-31
2009-10-31,Ian Thomas-Moore,yellow,https://www.tranmere-web.com/match/2009/2009-10-31
2009-10-24,John Welsh,yellow,https://www.tranmere-web.com/match/2009/2009-10-24
2009-10-24,(Charlie Barnett 76),red,https://www.tranmere-web.com/match/2009/2009-10-24
2009-10-17,David Martin,yellow,https://www.tranmere-web.com/match/2009/2009-10-17
2009-10-17,Marlon Broomes,yellow,https://www.tranmere-web.com/match/2009/2009-10-17
2009-10-17,Zoumana Bakayogo,yellow,https://www.tranmere-web.com/match/2009/2009-10-17
2009-10-12,Luke Daniels,red,https://www.tranmere-web.com/match/2009/2009-10-12
2009-10-03,Shaleum Logan,yellow,https://www.tranmere-web.com/match/2009/2009-10-03
2009-10-03,Marlon Broomes,yellow,https://www.tranmere-web.com/match/2009/2009-10-03
2009-10-03,Ian Goodison,yellow,https://www.tranmere-web.com/match/2009/2009-10-03
2009-10-03,Aaron Cresswell,yellow,https://www.tranmere-web.com/match/2009/2009-10-03
2009-10-03,Marlon Broomes,red,https://www.tranmere-web.com/match/2009/2009-10-03
2009-09-26,Aaron Cresswell,yellow,https://www.tranmere-web.com/match/2009/2009-09-26
2009-09-26,Marlon Broomes,yellow,https://www.tranmere-web.com/match/2009/2009-09-26
2009-09-26,Shaleum Logan,yellow,https://www.tranmere-web.com/match/2009/2009-09-26
2009-09-26,Paul McLaren,yellow,https://www.tranmere-web.com/match/2009/2009-09-26
2009-09-19,Marlon Broomes,yellow,https://www.tranmere-web.com/match/2009/2009-09-19
2009-09-19,Michael Ricketts,yellow,https://www.tranmere-web.com/match/2009/2009-09-19
2009-09-05,Shaleum Logan,red,https://www.tranmere-web.com/match/2009/2009-09-05
2009-08-29,Shaleum Logan,yellow,https://www.tranmere-web.com/match/2009/2009-08-29
2009-08-29,Paul McLaren,yellow,https://www.tranmere-web.com/match/2009/2009-08-29
2009-08-29,Terry Gornell,yellow,https://www.tranmere-web.com/match/2009/2009-08-29
2009-08-25,Aaron Cresswell,yellow,https://www.tranmere-web.com/match/2009/2009-08-25
2009-08-22,Ian Goodison,yellow,https://www.tranmere-web.com/match/2009/2009-08-22
2009-08-22,Paul McLaren,yellow,https://www.tranmere-web.com/match/2009/2009-08-22
2009-08-18,John Welsh,yellow,https://www.tranmere-web.com/match/2009/2009-08-18
2009-08-08,Shaleum Logan,yellow,https://www.tranmere-web.com/match/2009/2009-08-08
2009-08-08,John Welsh,yellow,https://www.tranmere-web.com/match/2009/2009-08-08
2009-05-02,Gareth Edds,yellow,https://www.tranmere-web.com/match/2008/2009-05-02
2009-05-02,Steven Jennings,yellow,https://www.tranmere-web.com/match/2008/2009-05-02
2009-05-02,Gareth Edds,red,https://www.tranmere-web.com/match/2008/2009-05-02
2009-04-18,Steven Jennings,yellow,https://www.tranmere-web.com/match/2008/2009-04-18
2009-04-13,Ian Goodison,red,https://www.tranmere-web.com/match/2008/2009-04-13
2009-04-05,Ian Goodison,yellow,https://www.tranmere-web.com/match/2008/2009-04-05
2009-04-05,Bas Savage,yellow,https://www.tranmere-web.com/match/2008/2009-04-05
2009-03-21,Ryan Shotton,yellow,https://www.tranmere-web.com/match/2008/2009-03-21
2009-03-21,Ian Thomas-Moore,yellow,https://www.tranmere-web.com/match/2008/2009-03-21
2009-03-07,Ash Taylor,yellow,https://www.tranmere-web.com/match/2008/2009-03-07
2009-03-07,Ian Goodison,yellow,https://www.tranmere-web.com/match/2008/2009-03-07
2009-03-07,Danny Mayor,yellow,https://www.tranmere-web.com/match/2008/2009-03-07
2009-02-28,Ryan Shotton,yellow,https://www.tranmere-web.com/match/2008/2009-02-28
2009-02-28,Ian Goodison,red,https://www.tranmere-web.com/match/2008/2009-02-28
2009-02-14,Gareth Edds,yellow,https://www.tranmere-web.com/match/2008/2009-02-14
2009-02-14,Ian Thomas-Moore,yellow,https://www.tranmere-web.com/match/2008/2009-02-14
2009-02-14,Bas Savage,yellow,https://www.tranmere-web.com/match/2008/2009-02-14
2009-02-10,Ash Taylor,yellow,https://www.tranmere-web.com/match/2008/2009-02-10
2009-02-10,Charlie Barnett,yellow,https://www.tranmere-web.com/match/2008/2009-02-10
2009-02-07,Ben Chorley,yellow,https://www.tranmere-web.com/match/2008/2009-02-07
2009-01-31,Ryan Shotton,yellow,https://www.tranmere-web.com/match/2008/2009-01-31
2009-01-31,Ben Chorley,yellow,https://www.tranmere-web.com/match/2008/2009-01-31
2009-01-27,Ian Goodison,yellow,https://www.tranmere-web.com/match/2008/2009-01-27
2009-01-17,Ian Goodison,yellow,https://www.tranmere-web.com/match/2008/2009-01-17
2009-01-17,Antony Kay,yellow,https://www.tranmere-web.com/match/2008/2009-01-17
2008-12-26,John Johnson,yellow,https://www.tranmere-web.com/match/2008/2008-12-26
2008-12-26,Ash Taylor,yellow,https://www.tranmere-web.com/match/2008/2008-12-26
2008-12-16,John Johnson,yellow,https://www.tranmere-web.com/match/2008/2008-12-16
2008-12-16,Ben Chorley,yellow,https://www.tranmere-web.com/match/2008/2008-12-16
2008-12-16,Ian Thomas-Moore,yellow,https://www.tranmere-web.com/match/2008/2008-12-16
2008-12-13,Ian Goodison,yellow,https://www.tranmere-web.com/match/2008/2008-12-13
2008-12-13,Ian Thomas-Moore,yellow,https://www.tranmere-web.com/match/2008/2008-12-13
2008-12-06,Antony Kay,yellow,https://www.tranmere-web.com/match/2008/2008-12-06
2008-12-06,Steven Jennings,yellow,https://www.tranmere-web.com/match/2008/2008-12-06
2008-11-29,Ash Taylor,yellow,https://www.tranmere-web.com/match/2008/2008-11-29
2008-11-29,Ben Chorley,yellow,https://www.tranmere-web.com/match/2008/2008-11-29
2008-11-25,Ryan Shotton,yellow,https://www.tranmere-web.com/match/2008/2008-11-25
2008-11-25,Bas Savage,yellow,https://www.tranmere-web.com/match/2008/2008-11-25
2008-11-25,Ian Thomas-Moore,yellow,https://www.tranmere-web.com/match/2008/2008-11-25
2008-11-22,Ben Chorley,yellow,https://www.tranmere-web.com/match/2008/2008-11-22
2008-11-22,Charlie Barnett,yellow,https://www.tranmere-web.com/match/2008/2008-11-22
2008-11-22,Mark Wilson,yellow,https://www.tranmere-web.com/match/2008/2008-11-22
