game_date,ko_time,cup_round,cup_leg,cup_stage,cup_replay,cup_section,extra_time,pen_outcome,pen_score,pen_gf,pen_ga,agg_outcome,agg_score,agg_gf,agg_ga,away_goal_outcome,gg_outcome
1984-03-20,NA,QF,NA,Quarter-final - northern section,0,Northern,1,W,4-3,4,3,NA,NA,NA,NA,NA,NA
1984-03-12,NA,2,NA,2nd round - northern section,0,Northern,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1984-02-20,NA,1,NA,1st round - northern section,0,Northern,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1983-11-22,NA,1,NA,1st round replay,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1983-11-19,NA,1,NA,1st round,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1983-09-12,NA,1,2,1st round 2nd leg,0,NA,0,NA,NA,NA,NA,L,0-1,0,1,NA,NA
1983-08-30,NA,1,1,1st round 1st leg,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1983-01-08,NA,3,NA,3rd round,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982-12-14,NA,2,NA,2nd round replay,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982-12-11,NA,2,NA,2nd round,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982-11-20,NA,1,NA,1st round,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982-10-27,NA,2,2,2nd round 2nd leg,0,NA,0,NA,NA,NA,NA,L,2-5,2,5,NA,NA
1982-10-06,NA,2,1,2nd round 1st leg,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982-09-13,NA,1,2,1st round 2nd leg,0,NA,0,NA,NA,NA,NA,D,1-1,1,1,W,NA
1982-08-31,NA,1,1,1st round 1st leg,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1981-12-02,NA,4,NA,4th round,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1981-11-24,NA,1,NA,1st round replay,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1981-11-21,NA,1,NA,1st round,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1981-11-10,NA,3,NA,3rd round,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1981-10-28,NA,2,2,2nd round 2nd leg,0,NA,0,NA,NA,NA,NA,W,4-1,4,1,NA,NA
