season,game_no,player_name,shirt_no,role,on_for,off_for
1923/24,6,Stuart,3,starter,,
1923/24,6,Buchan,4,starter,,
1923/24,6,Halstead,5,starter,,
1923/24,6,Campbell,6,starter,,
1923/24,6,Moreton,7,starter,,
1923/24,6,Brown,8,starter,,
1923/24,6,Sayer,9,starter,,
1923/24,6,Beswick,10,starter,,
1923/24,6,Cartman,11,starter,,
1923/24,7,Mitchell,1,starter,,
1923/24,7,Jackson G,2,starter,,
1923/24,7,Stuart,3,starter,,
1923/24,7,Buchan,4,starter,,
1923/24,7,Halstead,5,starter,,
1923/24,7,Hawarden,6,starter,,
1923/24,7,Beswick,7,starter,,
1923/24,7,Brown,8,starter,,
1923/24,7,Sayer,9,starter,,
1923/24,7,Littlehales,10,starter,,
1923/24,7,Cartman,11,starter,,
1923/24,8,Mitchell,1,starter,,
1923/24,8,Jackson G,2,starter,,
1923/24,8,Stuart,3,starter,,
1923/24,8,Buchan,4,starter,,
1923/24,8,Halstead,5,starter,,
1923/24,8,Hawarden,6,starter,,
1923/24,8,Moreton,7,starter,,
1923/24,8,Brown,8,starter,,
1923/24,8,Sayer,9,starter,,
1923/24,8,Beswick,10,starter,,
1923/24,8,Cartman,11,starter,,
1923/24,9,Mitchell,1,starter,,
1923/24,9,Jackson G,2,starter,,
1923/24,9,Stuart,3,starter,,
1923/24,9,Buchan,4,starter,,
1923/24,9,Halstead,5,starter,,
1923/24,9,Hawarden,6,starter,,
1923/24,9,Beswick,7,starter,,
1923/24,9,Brown,8,starter,,
1923/24,9,Sayer,9,starter,,
1923/24,9,Cartman,10,starter,,
1923/24,9,Hayes J,11,starter,,
1923/24,10,Mitchell,1,starter,,
1923/24,10,Jackson G,2,starter,,
1923/24,10,Stuart,3,starter,,
1923/24,10,Hawarden,4,starter,,
1923/24,10,Halstead,5,starter,,
1923/24,10,Campbell,6,starter,,
1923/24,10,Beswick,7,starter,,
1923/24,10,Brown,8,starter,,
1923/24,10,Sayer,9,starter,,
1923/24,10,Cartman,10,starter,,
1923/24,10,Buchan,11,starter,,
1923/24,11,Mitchell,1,starter,,
1923/24,11,Hayes C,2,starter,,
1923/24,11,Stuart,3,starter,,
1923/24,11,Buchan,4,starter,,
1923/24,11,Halstead,5,starter,,
1923/24,11,Campbell,6,starter,,
1923/24,11,Hayes J,7,starter,,
1923/24,11,Beswick,8,starter,,
1923/24,11,Littlehales,9,starter,,
1923/24,11,Cartman,10,starter,,
1923/24,11,Robinson J,11,starter,,
1923/24,12,Mitchell,1,starter,,
1923/24,12,Hayes C,2,starter,,
1923/24,12,Stuart,3,starter,,
1923/24,12,Checkland,4,starter,,
1923/24,12,Halstead,5,starter,,
1923/24,12,Campbell,6,starter,,
1923/24,12,Moreton,7,starter,,
1923/24,12,Beswick,8,starter,,
1923/24,12,Sayer,9,starter,,
1923/24,12,Cartman,10,starter,,
1923/24,12,Robinson J,11,starter,,
1923/24,13,Mitchell,1,starter,,
1923/24,13,Hayes C,2,starter,,
1923/24,13,Stuart,3,starter,,
1923/24,13,Buchan,4,starter,,
1923/24,13,Halstead,5,starter,,
1923/24,13,Campbell,6,starter,,
1923/24,13,Brown,7,starter,,
1923/24,13,Beswick,8,starter,,
1923/24,13,Sayer,9,starter,,
1923/24,13,Cartman,10,starter,,
1923/24,13,Robinson J,11,starter,,
1923/24,14,Wilde,1,starter,,
1923/24,14,Lewis Jos,2,starter,,
1923/24,14,Stuart,3,starter,,
1923/24,14,Brown,4,starter,,
1923/24,14,Halstead,5,starter,,
1923/24,14,Campbell,6,starter,,
1923/24,14,Hilton,7,starter,,
1923/24,14,Beswick,8,starter,,
1923/24,14,Sayer,9,starter,,
1923/24,14,Cartman,10,starter,,
1923/24,14,Hayes J,11,starter,,
1923/24,15,Mitchell,1,starter,,
1923/24,15,Jackson G,2,starter,,
1923/24,15,Stuart,3,starter,,
1923/24,15,Brown,4,starter,,
1923/24,15,Halstead,5,starter,,
1923/24,15,Campbell,6,starter,,
